name,symptoms
Apneia do Sono,"A apneia do sono é uma alteração caracterizada por pausas respiratórias que podem ocorrer enquanto dormimos. Há três tipos de apneia:• Apneia obstrutiva do sono: É a forma mais comum da apneia do sono, na qual os músculos da orofaringe relaxam, obstruindo as vias aéreas e tornando a respiração difícil e barulhenta. O colapso das paredes das vias aéreas pode bloquear totalmente a respiração. A síndrome da apneia obstrutiva do sono é a que ocorre com mais frequência na população adulta, afetando 4% dos homens e 2% das mulheres. O grande problema é que, por conta das paradas respiratórias, essas pessoas têm um sono de má qualidade. Frequentemente apresentam excessiva sonolência diurna, o que aumenta o risco de acidentes automobilísticos, e também ficam mais predispostas ao desenvolvimento de doenças cardiovasculares.• Apneia central do sono: Nessa forma de apneia do sono, as vias aéreas estão abertas, mas o diafragma e os músculos do tórax param de trabalhar. Os níveis de oxigênio caem e sinalizam para o cérebro, provocando o despertar e a recuperação da respiração. A apneia central do sono torna-se mais comum com a idade. Ele se torna mais frequente e grave em pessoas que têm insuficiência cardíaca congestiva ou distúrbios neurológicos.• Apneia mista: tem componente central e obstrutivo."
Arritimia cardíaca,"As arritmias são alterações anormais no número de batimentos cardíacos por minuto e no intervalo entre um batimento e outro. A freqüência e o ritmo do coração variam ao longo de um dia conforme a necessidade de oxigênio do organismo, já que a função desse órgão é bombear o sangue oxigenado pelos pulmões para todas as células do corpo.Quem regula essa atividade cardíaca, reduzindo-a ou acelerando-a de acordo com a demanda, é o sistema nervoso autonômico, que age sobre o sistema elétrico interno do coração, comandado pelo nó sinusal, que consiste em um grupo celular capaz de gerar estímulo elétrico. Esse impulso gerado no nó sinusal se propaga, gerando contrações sincronizadas das câmaras superiores e inferiores do coração, ou seja, dos átrios e dos ventrículos, que, assim, vão encaminhando adequadamente o sangue que por ali passa.As arritmias se manifestam quando ocorre algum problema na geração ou na condução desse estímulo elétrico, desorganizando a atividade do coração e, algumas vezes, provocando verdadeiros curtos-circuitos. Apresentam-se de diversas formas, variando conforme seu local de origem – no átrio, no ventrículo ou na junção entre essas câmaras – e a freqüência cardíaca que desencadeiam – bradicardia quando os batimentos ficam lentos, não chegando a 60 por minuto e taquicardia, quando o coração acelera, passando de 100 batimentos por minuto. A mais freqüente, porém, é a fibrilação atrial, que se origina no átrio e afeta 5% das pessoas na faixa dos 60 anos e 9% dos septuagenários.Além de poderem ser conseqüência de algum problema cardíaco anterior, as arritmias sinalizam irregularidades do sistema elétrico e doenças do coração ainda não-manifestas, como uma eventual insuficiência coronariana. Por isso, sempre precisam de investigação detalhada, mesmo porque alguns episódios arrítmicos, como os ventriculares, produzem uma desorganização tão grande que o coração pode parar de funcionar."
Artrite Reumatóide,"A artrite reumatóide é uma doença crônica que provoca inflamação no revestimento das articulações – chamado de membrana sinovial –, podendo causar danos a ossos, cartilagens, tendões e ligamentos das juntas, assim como a outros órgãos, a exemplo do sistema nervoso, pulmões, coração, olhos, rins e vasos sangüíneos.Costuma acometer várias articulações ao mesmo tempo, sobretudo mãos, punhos, cotovelos, joelhos e ombros, em geral dos dois lados do corpo, diferentemente do que acontece em outras doenças articulares, como na artrose.A doença interfere muito na qualidade de vida das pessoas, dificultando, inicialmente, os movimentos e, conforme sua progressão, provocando deformações e até mesmo incapacidade funcional das articulações envolvidas.Pode afetar pessoas de todas as idades, mas costuma ter picos de incidência na adolescência e também entre os 40 e os 60 anos, especialmente no sexo feminino. Estima-se que 1% da população mundial sofra de artrite reumatóide."
Artrose,"Conhecida por vários nomes, como osteoartrose, osteoartrite ou doença articular degenerativa, a artrose é uma enfermidade reumática caracterizada pelo desgaste da cartilagem das articulações e por alterações ósseas em seu entorno.Na prática, esse processo degenerativo faz com que a cartilagem progressivamente perca sua superfície lisa, ficando cheia de pequenas crateras que causam rachaduras e cistos no osso adjacente. Bastante freqüente, a doença motiva cerca de 30% a 40% das consultas aos reumatologistas.Segundo a Sociedade Brasileira de Reumatologia, em torno dos 75 anos de idade, 85% das pessoas de ambos os sexos têm alguma evidência de artrose, tanto na radiografia quanto no exame clínico, embora apenas de 30% a 50% se queixem de dor crônica."
Asma,"A asma é uma doença pulmonar crônica, caracterizada por uma reação de defesa exagerada do aparelho respiratório diante de estímulos que outros indivíduos nem percebem – trata-se da chamada hiper-reatividade.Essa resposta demasiada contrai a musculatura da região, estreitando os canais que levam o ar até os pulmões – os brônquios –, e, por ser também inflamatória, provoca o aumento da produção local de secreção.Por isso, freqüentemente a asma é confundida com a bronquiolite ou referida como bronquite asmática. Como resultado dessa broncoconstrição, na qual os brônquios ficam inchados, quase fechados e cheios de muco, há uma grande dificuldade para respirar.A asma atinge pessoas de todas as raças e idades em diferentes partes do globo, sendo a doença crônica mais comum na infância. A Organização Mundial da Saúde (OMS) estima entre 100 milhões e 150 milhões o número de asmáticos no mundo."
Botulismo,"O botulismo é uma doença que se caracteriza por paralisia muscular e tem, como causa, a toxina produzida pelo Clostridium botulinum, uma bactéria encontrada no solo, em alimentos e em fezes de animais sob a forma de esporos, ou seja, de estruturas resistentes que se formam em condições desfavoráveis.Por isso mesmo, esse microrganismo acha nas conservas de carnes, vegetais e frutas o local ideal – sem oxigênio – para dar origem à toxina botulínica, que, uma vez ingerida, se comporta como um veneno biológico no corpo humano.Depois que ganha a corrente sangüínea, ela atinge o sistema nervoso central e interfere na comunicação entre as células nervosas, impedindo a contração muscular. A maior ameaça desta paralisia é a severa dificuldade respiratória que ela provoca, podendo culminar com parada cardiorespiratória e morte.Graças à melhoria das práticas e dos processos de fabricação de alimentos em conserva no mundo todo, o botulismo é hoje uma doença de baixa incidência. De 1999 a 2005, o Estado de São Paulo, por exemplo, teve 22 casos confirmados dessa moléstia, que é capaz de afetar pessoas de todas as idades, bebês inclusive."
Bronquiolite,"A bronquiolite é uma inflamação dos bronquíolos, que são pequenas ramificações dos canais que levam ar para os pulmões – os brônquios. Esse processo inflamatório geralmente resulta de uma infecção respiratória viral anterior, como uma gripe, e afeta, sobretudo, crianças de até 2 anos de idade, particularmente entre o terceiro e o sexto mês de vida, quase sempre no período de outono-inverno.Com a inflamação, os bronquíolos se tornam mais grossos e, dada a presença de muco, podem ficar obstruídos, dificultando a entrada e, particularmente, a saída de ar. Por isso mesmo, não é raro a bronquiolite ser confundida com uma crise de asma."
Bulimia,"A bulimia é um transtorno psiquiátrico caracterizado por episódios de ingestão compulsiva e excessiva de alimentos, seguidos de métodos inadequados para reverter este abuso.As medidas mais empregadas pelos pacientes para reparar esta situação são a indução de vômitos, uso abusivo de laxantes e diuréticos, manutenção de dietas super-restritivas, jejum prolongado e prática extenuante de exercícios físicos. Tudo isso é realizado com o intuito de reduzir os efeitos provocados pela hiperalimentação e aliviar o sentimento de culpa gerado pelo medo de engordar após o exagero alimentar.Diferentemente da anorexia nervosa, nessa condição não há magreza demasiada – cerca de 70% dos portadores de bulimia têm peso normal e alguns têm até sobrepeso. Contudo, um ponto comum importante entre estas doenças é o medo de engordar associado a um cuidado obsessivo com a forma física.A bulimia afeta, sobretudo mulheres na faixa dos 18 aos 40 anos, das classes média e alta, sendo muito freqüente entre modelos, dançarinos e praticantes de atletismo, assim como entre estudantes do ensino médio e superior. Muitas vezes, está associada a outro transtorno alimentar,ou psiquiátrico, como a anorexia nervosa e a depressão."
Catapora,"A catapora, também denominada varicela, é uma doença infecciosa altamente contagiosa que se manifesta com a formação de lesões por todo o corpo. A moléstia atinge, sobretudo, crianças entre um e dez anos de idade, apesar de acometer também adultos não-imunizados.Na maioria dos casos, não traz conseqüências maiores, mas pode causar infecções bacterianas, sobretudo na pele, particularmente em decorrência da coceira que as pessoas sentem no local das lesões.Nos recém-nascidos e em pessoas com o sistema imunológico deprimido por enfermidades ou tratamentos, existe a possibilidade de a catapora ser mais grave, com comprometimento de outros órgãos."
Catarata,"A catarata é uma doença ocular que altera o cristalino, uma lente natural, situada atrás da íris, que permite à retina receber os raios luminosos para a formação da imagem. Com a alteração, essa lente fica opaca, impedindo a pessoa de enxergar com nitidez e, progressivamente, reduzindo sua acuidade visual. Tanto é assim que a doença é uma importante causa de cegueira no mundo. Essa perda da visão, contudo, quase sempre pode ser revertida quando não há mais condições associadas, diferentemente do que ocorre com outras doenças oculares, como o glaucoma. A catarata tem uma incidência bastante relacionada com o envelhecimento, fazendo mais casos à medida em que se prolonga a expectativa de vida da população. Para se ter uma idéia, afeta 80% das pessoas com mais de 80 anos. Apesar disso, o tratamento costuma ser muito bem-sucedido na maioria dos casos e, por envolver indivíduos de terceira idade, tem estado cada vez menos invasivo."
Caxumba,"Também conhecida como papeira ou parotidite, a caxumba é uma moléstia infecciosa altamente contagiosa que afeta as glândulas salivares, sobretudo a parótida, e também as glândulas submandibulares e sublinguais, todas próximas dos ouvidos.Faz parte das chamadas doenças comuns da infância, pois acomete, principalmente, crianças e adolescentes em idade escolar, dos 5 aos 16 anos.Existe a possibilidade de os rapazes infectados desenvolverem também inflamação dos testículos, denominada orquite, mas, ao contrário do que se diz, é muito incomum a doença causar esterilidade. Entre as garotas, uma parcela está igualmente sujeita a ter inflamação dos ovários, a ooforite.A caxumba pode, ainda, atingir o pâncreas e o sistema nervoso central, provocando processos inflamatórios que, contudo, evoluem de forma benigna."
Ceratite,"A ceratite consiste na inflamação da córnea, a porção externa dos olhos que refrata e transmite a luz e ainda funciona como barreira protetora da superfície do globo ocular.O processo inflamatório decorre, principalmente, pela ação de microrganismos, mas também em decorrência de traumas, de medicamentos, de exposição à luz ultravioleta – do sol e de cabines de bronzeamento – e até como complicações de outras doenças.Seja qual for sua origem, a doença progride rapidamente e, sem tratamento, provoca graves lesões na córnea, com risco de perfuração dessa porção, além de afetar outras áreas do olho. Com isso, pode levar o indivíduo a sofrer uma importante queda em sua capacidade visual e até mesmo à perda de sua visão.Ao contrário do que se pensa, a ceratite tem incidência crescente, chegando a constituir um problema de saúde pública ignorado pelas autoridades mundiais de saúde. Só em relação às inflamações da córnea de causa microbiana, estima-se que, durante os últimos 40 anos, o número de novos casos tenha aumentado quase cinco vezes."
Citomegalovirose,"A citomegalovirose, ou doença de inclusão citomegálica, é uma infecção muito comum, que afeta metade da população de adultos jovens nos Estados Unidos, devido à facilidade de transmissão do agente causador da doença, o citomegalovírus.A virose raramente causa problemas mais sérios em pessoas saudáveis, mas, em indivíduos com o sistema imunológico comprometido – os imunodeprimidos –, particularmente nos doentes de aids, tem potencial para comprometer o sistema nervoso central e o trato digestivo, além de causar hepatite, pneumonia e inflamação da retina, com risco de cegueira.A citomegalovirose congênita, passada da mãe para o feto durante a gravidez, também costuma ser bastante grave, sobretudo se adquirida no primeiro trimestre da gestação, quando é capaz de acarretar seqüelas neurológicas, visuais e auditivas no bebê.Vale lembrar que quem contrai a doença permanece com o vírus no organismo, em estado latente, por toda a vida, o qual pode ser reativado em situações de baixa imunidade."
Conjuntivite,"A conjuntivite é a inflamação da conjuntiva ocular, ou seja, da membrana transparente e fina que reveste o branco dos olhos e o interior das pálpebras. ausada, sobretudo, por vírus, a doença geralmente começa em um dos olhos e, em 3 a 4 dias, passa para o outro também, durando de uma semana a 15 dias, aproximadamente.Na grande maioria das vezes cursa de forma beningna, sem deixar seqüelas. As complicações, quando ocorrem, dizem respeito ao risco de o agente infeccioso se disseminar pelos olhos, afetando a pálpebra ou, o que pode ser bem mais grave, ganhando o interior do globo ocular, com riscos de atingir o nervo óptico e comprometer a acuidade visual do indivíduo. No entanto, essa possibilidade está mais associada às inflamações provocadas por bactérias, que, felizmente, são bem menos freqüentes que os processos virais.A conjuntivite representa uma das doenças oculares mais comuns, sendo altamente contagiosa quando sua origem é infecciosa. Não por acaso, ocorrem com certa regularidade verdadeiras epidemias, principalmente no verão. Em 2004, por exemplo, somente o Estado de São Paulo registrou mais de 65 mil casos dessa doença ocular, concentrados nos primeiros meses do ano.Apesar de ser um problema de saúde corriqueiro, convém sempre procurar atendimento médico para evitar complicações."
Coqueluche,"A coqueluche é uma doença infectocontagiosa provocada por bactérias da família Bordetella, que colonizam o aparelho respiratório, especialmente a traquéia e os brônquios, por onde o ar obrigatoriamente precisa passar para chegar até os pulmões, provocando crises extenuantes de tosse.Apesar de poder ser prevenida por uma vacina, a moléstia ainda constitui uma importante causa de mortalidade infantil ao redor do mundo, especialmente nos países em desenvolvimento, sobretudo entre crianças menores de 6 meses de idade.As complicações decorrem principalmente da evolução da infecção para os pulmões, determinada tanto pela Bordetella quanto por outras espécies bacterianas que se aproveitam da situação.No Brasil, felizmente o número de casos vem se mantendo em queda graças à ampliação da cobertura de vacinação, tendo saído de quase 46 mil, em 1980, para pouco mais de mil, em 2005."
Câncer Colorretal,"O câncer colorretal é um tumor maligno que atinge o cólon e o reto, conhecido como intestino grosso. É muito freqüente na população adulta brasileira, sendo a quinta causa de câncer entre os homens, com cerca de 11,5 mil casos novos a cada ano, e a quarta mais prevalente entre as mulheres, com incidência em torno de 14 mil casos anuais, concentrando-se na faixa etária dos 50 aos 70 anos.Os cânceres do cólon e do reto têm a particularidade de exibir lesões precursoras, que são os pólipos - estruturas formadas pelo crescimento indevido da mucosa intestinal - e que, dependendo do tipo, apresentam risco de transformação maligna.O tempo estimado para crescimento e desenvolvimento de tumor a partir de um pólipo é longo, o que permite sua identificação, retirada e, portanto, prevenção do câncer. Apesar disso, a mortalidade associada à neoplasia colorretal ainda é elevada, especialmente por conta do diagnóstico tardio."
Câncer de Mama,"O câncer de mama é o tumor maligno mais freqüente no sexo feminino, estando entre as principais causas de morte em mulheres nos países ocidentais.Em linhas gerais, resulta da multiplicação celular no interior do ducto mamário de forma exagerada e desordenada, que invade os tecidos normais que o cercam, podendo comprometer outros órgãos se as células cancerosas atingirem a circulação sanguínea ou linfática – processo conhecido como metástase.Como se não bastasse o risco de se disseminar pelo organismo, o câncer de mama também desencadeia efeitos psicológicos importantes na mulher, por afetar a percepção de sua feminilidade e sexualidade. Embora possa ocorrer em homens, a doença acomete sobretudo a população feminina acima dos 40 anos, sendo que o risco de adquiri-la aumenta com o avanço da idade.No Brasil, o número anual de casos diagnosticados tem chegado a 50 mil, segundo o Instituto Nacional do Câncer (INCA).Não obstante o aumento da incidência e a gravidade desse tumor, a chance de cura hoje ultrapassa os 90% quando o diagnóstico é feito no estágio inicial da lesão, ou seja, antes do aparecimento de um nódulo – o popular caroço – perceptível pelo toque. A alta mortalidade associada ao câncer de mama se deve, na maioria dos casos, à sua detecção tardia."
Câncer de Pele,"O câncer de pele se caracteriza pelo crescimento anormal e descontrolado das células que compõem o revestimento externo do corpo, o que dá origem a tumores malignos, sobretudo em pessoas de pele clara, com sardas, cabelos claros ou ruivos e olhos claros. Pode ser de vários tipos, dependendo das células que dão origem ao tumor.O carcinoma basocelular é o mais freqüente e responde por cerca de 70% de todos os casos, atingindo especialmente as pessoas com mais de 40 anos. Começa nas células basais da camada exterior da pele – a epiderme – ou nos orifícios de onde nascem os pêlos e, apesar de ser invasivo, com risco de atingir músculos, ossos e gordura à medida que vai crescendo, raramente gera novos tumores em outros órgãos ou estruturas – processo conhecido como metástase.Já o carcinoma espinocelular ou epidermóide é o segundo tipo mais comum, sendo responsável por cerca de 25% dos casos de câncer de pele. Afeta mais a população masculina, com idade superior a 50 anos e é mais encontrado em pessoas de pele clara, com idade superior a 50 anos, que tomaram muito sol durante a vida. Também se inicia na epiderme, em sua camada média – camada espinhosa – é um pouco mais agressivo que o basocelular e pode causar metástase em alguns casos.O melanoma, por fim, é o tumor de pele menos freqüente, totalizando cerca de 4% dos casos. Por apresentar alto potencial de disseminação das células malignas – metástases – e por ser resistente à radioterapia e à quimioterapia, é considerado o tipo mais grave de câncer de pele. Acomete adultos de qualquer idade e tem sua origem nos melanócitos, ou seja, nas células que produzem melanina.No conjunto, os diferentes tipos de tumor de pele perfazem um total de mais de 123 mil novos casos a cada ano, segundo o Instituto Nacional do Câncer (Inca). Embora o índice de mortalidade seja baixo, a doença pode causar deformações e feridas importantes.Como em qualquer outro câncer, a possibilidade de cura aumenta quanto mais precoce for o diagnóstico."
Câncer de Próstata,"O câncer de próstata afeta uma glândula localizada abaixo da bexiga e adiante do reto, cuja função é produzir sêmen, o material biológico que contém os espermatozóides. Como qualquer outro tipo de doença maligna, esse câncer também se origina da divisão e da multiplicação desordenada das células, que efetivamente formam a lesão e podem se espalhar pela corrente sanguínea, atingindo outros órgãos e tecidos do corpo.Em decorrência do diagnóstico tardio, o câncer de próstata continua sendo o segundo tumor maligno que mais faz vítimas entre os homens, só perdendo para o câncer de pulmão. O número de casos vem crescendo mundialmente a cada ano, um pouco pela maior capacidade diagnóstica, é verdade, mas, sobretudo, pelo aumento da expectativa de vida da população mundial. A doença, afinal, tem predileção por homens com mais de 50 anos – aos 75 anos, metade da população masculina desenvolve o tumor.Apesar da alta incidência e da elevada mortalidade associada a esse câncer, a detecção precoce aumenta muito suas chances de cura e de controle. Daí a importância do rastreamento periódico de lesões suspeitas para todo homem a partir da quinta década de vida."
Câncer de Tiróide,"O câncer de tiroide é um tumor maligno localizado nessa pequena glândula, situada na região anterior do pescoço, cuja função é produzir e liberar hormônios como a tiroxina (T4), a triiodotironina (T3) e a calcitonina.Como qualquer doença maligna, essa também se desenvolve com a multiplicação desordenada de células anormais, que efetivamente formam a lesão, comumente um nódulo tiroidiano.O câncer de tiroide pode migrar para outros órgãos, mais frequentemente gânglios cervicais e menos freqüentemente órgãos distantes - processo conhecido como metástase.Há quatro tipos principais de câncer de tireoide: o papilífero, o folicular, o medular e o anaplásico. O carcinoma papilífero é responsável por 80% dos casos de câncer de tireoide, o folicular por aproximadamente 10% e o medular 5%.Quando detectados e tratados precocemente estão associados a altas chances de cura. O carcinoma papilífero e o carcinoma folicular se originam de células tiroidianas que produzem T4 e T3, sendo tratados com cirurgia e, se necessário, com iodo radiativo. Já o carcinoma medular se origina das células C da tiroide que produzem calcitonina e, portanto, não são tratados com iodo radioativo.Além de ser o mais freqüente, o carcinoma papilífero é o tumor que tende a ser mais localizado e com maior chance de cura. Já os carcinomas foliculares e medulares podem envolver não só a tireoide mas, quando mais agressivos, podem atingir órgãos distantes como pulmões, fígado e ossos. Por fim, o carcinoma anaplásico é raro e altamente agressivo, e acomete, em geral, pessoas acima de 65 anos."
